# age N_data S_data
19110.000610 7.905235 -4.572820
19100.000381 7.983193 -4.573843
19090.000153 7.823700 -4.486681
19079.999924 7.886697 -4.813567
19069.999695 7.903156 -4.590259
19059.999466 8.059742 -4.554787
19049.999237 8.087368 -4.454323
19040.000916 8.010697 -4.635611
19030.000687 7.946979 -4.597283
19020.000458 7.928952 -4.778622
19010.000229 8.020899 -4.729696
19000.000000 7.943770 -4.546645
18989.999771 7.857084 -4.562205
18979.999542 7.849583 -4.705033
18969.999313 7.700092 -4.722395
18959.999084 7.662936 -4.793001
18950.000763 7.581641 -4.688090
18940.000534 7.798916 -4.673121
18930.000305 7.883203 -4.519837
18920.000076 7.606586 -4.519043
18909.999847 7.724177 -4.518507
18899.999619 7.549693 -4.546756
18889.999390 7.820726 -4.578676
18880.001068 7.848293 -4.468209
18870.000839 7.829388 -4.542085
18860.000610 7.709899 -4.428663
18850.000381 7.542086 -4.540791
18840.000153 7.752351 -4.491893
18829.999924 7.612248 -4.590922
18819.999695 7.460350 -4.652647
18809.999466 7.602432 -4.368777
18799.999237 7.623743 -4.512265
18790.000916 7.581547 -4.363758
18780.000687 7.499046 -4.491662
18770.000458 7.740343 -4.330291
18760.000229 7.683015 -4.438599
18750.000000 7.482223 -4.407570
18739.999771 7.340944 -4.515989
18729.999542 7.610410 -4.530096
18719.999313 7.594385 -4.425444
18709.999084 7.439466 -4.439472
18700.000763 7.672859 -4.541349
18690.000534 7.561369 -4.411662
18680.000305 7.651057 -4.361212
18670.000076 7.576213 -4.507174
18659.999847 7.518041 -4.477766
18649.999619 7.656033 -4.471924
18639.999390 7.574540 -4.435631
18630.001068 7.697407 -4.420109
18620.000839 7.627648 -4.387130
18610.000610 7.414742 -4.372790
18600.000381 7.478660 -4.388515
18590.000153 7.519392 -4.158178
18579.999924 7.626877 -4.186012
18569.999695 7.550411 -4.336060
18559.999466 7.640124 -4.335089
18549.999237 7.613270 -4.435761
18540.000916 7.682695 -4.270424
18530.000687 7.619007 -4.386462
18520.000458 7.480007 -4.197913
18510.000229 7.582355 -4.372872
18500.000000 7.661052 -4.333803
18489.999771 7.524196 -4.254241
18479.999542 7.569521 -4.141057
18469.999313 7.471909 -4.247808
18459.999084 7.487699 -4.400534
18450.000763 7.640810 -4.432044
18440.000534 7.715539 -4.410192
18430.000305 7.646174 -4.221186
18420.000076 7.238417 -4.180694
18409.999847 7.486102 -4.200055
18399.999619 7.842530 -4.171022
18389.999390 7.676685 -4.167131
18380.001068 7.644194 -4.267919
18370.000839 7.784459 -4.417790
18360.000610 7.798245 -4.298711
18350.000381 7.751298 -4.212444
18340.000153 7.592668 -4.150008
18329.999924 7.701426 -4.220646
18319.999695 7.789688 -4.058368
18309.999466 7.867043 -4.085059
18299.999237 7.806787 -4.284761
18290.000916 7.863502 -4.147457
18280.000687 7.862355 -4.242624
18270.000458 7.756496 -4.253135
18260.000229 7.652697 -4.046966
18250.000000 7.618384 -4.048819
18239.999771 7.386282 -4.129846
18229.999542 7.270895 -4.172074
18219.999313 7.425199 -4.412746
18209.999084 7.547846 -4.185054
18200.000763 7.708544 -4.096102
18190.000534 7.524039 -4.193694
18180.000305 7.542603 -4.134519
18170.000076 7.453035 -4.176518
18159.999847 7.648569 -4.109857
18149.999619 7.503432 -4.249252
18139.999390 7.545025 -4.005724
18130.001068 7.473867 -4.221178
18120.000839 7.318509 -4.305250
18110.000610 7.572998 -4.167029
18100.000381 7.580657 -4.157524
18090.000153 7.495509 -4.019122
18079.999924 7.220506 -4.302268
18069.999695 7.561414 -4.077535
18059.999466 7.395656 -4.167129
18049.999237 7.581726 -4.144485
18040.000916 7.526937 -4.135611
18030.000687 7.405012 -4.195136
18020.000458 7.460230 -4.073155
18010.000229 7.466907 -4.050635
18000.000000 7.327871 -4.077989
17989.999771 7.401377 -4.170515
17979.999542 7.313158 -4.071777
17970.001221 7.263348 -4.029180
17959.999084 7.484838 -4.072189
17950.000763 7.193841 -4.086427
17940.000534 7.399753 -4.072655
17930.000305 7.459250 -4.059488
17920.000076 7.366751 -4.056133
17909.999847 7.393377 -4.093946
17899.999619 7.569414 -4.076776
17889.999390 7.503316 -4.042713
17880.001068 7.386884 -4.093017
17869.998932 6.989529 -4.100707
17860.000610 7.160499 -4.034022
17850.000381 7.024124 -4.100474
17840.000153 7.215311 -3.904827
17829.999924 7.158128 -4.012512
17819.999695 7.111019 -3.971847
17809.999466 7.119716 -4.029242
17799.999237 7.124810 -3.937435
17790.000916 7.019898 -3.903506
17780.000687 7.283263 -4.035337
17770.000458 6.825597 -3.958339
17760.000229 7.243749 -3.907249
17750.000000 7.133162 -3.746118
17739.999771 7.035846 -3.914396
17729.999542 6.915369 -3.981733
17720.001221 6.953093 -3.901596
17709.999084 7.372396 -3.827778
17700.000763 7.168640 -3.835785
